year,number
2015,351
2016,560.913182511283
2017,880.622312974146
2018,1433.28795318695
2019,3055.02484803015
2020,4676.76174287328
2021,7307.20365218113
2022,10253.9362067946
2023,13633.6638125368
2024,17606.2417908213
2025,22390.6631253118
2026,27200.8331721588
2027,33050.8164863349
2028,40166.6959791222
2029,48823.9741489804
2030,59358.42843554
